"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.030410513E2,5.238636056E1,4.867381450E0,1.492350741E1,2.430000067E0,2.677000122E2,9.935046196E0,3.312543869E0
1.040412394E2,5.238635925E1,4.867338060E0,1.399617315E1,2.690000057E0,2.671000061E2,9.935046196E0,3.319561005E0
1.050397986E2,5.238635879E1,4.867292570E0,1.313133886E1,2.500000000E0,2.662000122E2,9.935046196E0,3.311534643E0
1.060389363E2,5.238635816E1,4.867250970E0,1.360726588E1,2.450000048E0,2.658999939E2,9.935046196E0,3.464565277E0
1.070398351E2,5.238635995E1,4.867205710E0,1.269171468E1,3.000000000E0,2.715000000E2,1.024259472E1,3.651426792E0
1.080394302E2,5.238636047E1,4.867159300E0,1.276718885E1,2.769999981E0,2.701000061E2,1.049958420E1,3.741612673E0
1.090392375E2,5.238635987E1,4.867120850E0,1.305207770E1,2.390000105E0,2.692000122E2,1.018776894E1,3.551940918E0
1.100409172E2,5.238636048E1,4.867081990E0,1.254344996E1,2.710000038E0,2.676000061E2,1.008408260E1,3.533995152E0
1.110398928E2,5.238636031E1,4.867037380E0,1.247030360E1,3.200000048E0,2.686000061E2,9.935046196E0,3.322480917E0
1.120396691E2,5.238635988E1,4.866998000E0,1.253528249E1,2.420000076E0,2.693999939E2,9.935046196E0,3.232193947E0
1.130395914E2,5.238635932E1,4.866963800E0,1.268473686E1,2.240000010E0,2.691000061E2,1.002912521E1,3.376041412E0
1.140391388E2,5.238635791E1,4.866926220E0,1.338411483E1,2.890000105E0,2.657000122E2,1.040373039E1,3.619398117E0
1.150402749E2,5.238635597E1,4.866879210E0,1.350383568E1,3.460000038E0,2.661000061E2,1.054537010E1,3.952171564E0
1.160444141E2,5.238635356E1,4.866841570E0,1.265352959E1,1.909999967E0,2.677999878E2,1.059257221E1,4.096992970E0
1.170408123E2,5.238635381E1,4.866817400E0,1.310938744E1,1.450000048E0,2.676000061E2,1.080279922E1,4.385471344E0
1.180444404E2,5.238635459E1,4.866788380E0,1.364031645E1,2.299999952E0,2.656000061E2,1.082602787E1,4.368333817E0
1.190383261E2,5.238635643E1,4.866747370E0,1.332040988E1,3.109999895E0,2.762000122E2,1.077377129E1,4.161617279E0
1.200412430E2,5.238635871E1,4.866705690E0,1.451246643E1,2.609999895E0,2.713999939E2,1.079286480E1,4.096892834E0
1.210386480E2,5.238635974E1,4.866667300E0,1.433709151E1,2.490000010E0,2.727999878E2,1.089239979E1,4.048459530E0
1.220370660E2,5.238635967E1,4.866630280E0,1.442081007E1,2.500000000E0,2.678999939E2,1.071704769E1,4.285839081E0
1.230398412E2,5.238635751E1,4.866591040E0,1.415833298E1,2.359999895E0,2.667999878E2,1.064280415E1,4.048621178E0
1.240387516E2,5.238635396E1,4.866546750E0,1.383261858E1,2.910000086E0,2.633999939E2,1.061700535E1,4.109932899E0
1.250423186E2,5.238635001E1,4.866503180E0,1.438953343E1,2.500000000E0,2.618999939E2,1.061859608E1,4.026102066E0
1.260399572E2,5.238634486E1,4.866460430E0,1.449356622E1,2.819999933E0,2.608999939E2,1.063411236E1,3.620100498E0
1.270413709E2,5.238634116E1,4.866419090E0,1.442853448E1,2.559999943E0,2.656000061E2,1.064393616E1,3.715566874E0
1.280420941E2,5.238633822E1,4.866375460E0,1.285849759E1,2.829999924E0,2.678999939E2,1.076827526E1,3.569609642E0
1.290396276E2,5.238633801E1,4.866329150E0,1.270649276E1,2.529999971E0,2.713999939E2,1.092420769E1,3.374081373E0
1.300408148E2,5.238633613E1,4.866284800E0,1.269059513E1,2.859999895E0,2.672999878E2,1.097442055E1,3.388975143E0
1.310390375E2,5.238633421E1,4.866241350E0,1.307911691E1,2.640000105E0,2.657999878E2,1.100452423E1,3.456812859E0
1.320401813E2,5.238633235E1,4.866203090E0,1.347612569E1,2.240000010E0,2.642999878E2,1.090951824E1,3.750980854E0
1.330408150E2,5.238633162E1,4.866162500E0,1.335256585E1,2.660000086E0,2.660000000E2,1.082877064E1,3.961007118E0
1.340396920E2,5.238633003E1,4.866125320E0,1.385809614E1,1.860000014E0,2.587999878E2,1.072105122E1,4.030305862E0
1.350415618E2,5.238632993E1,4.866092410E0,1.330540348E1,2.230000019E0,2.628999939E2,1.058112144E1,4.216834545E0
1.360396738E2,5.238632940E1,4.866052230E0,1.340535490E1,2.660000086E0,2.632999878E2,1.055396461E1,4.274197102E0
1.370392314E2,5.238632923E1,4.866008750E0,1.262060032E1,2.559999943E0,2.672999878E2,1.066175270E1,4.078820705E0
1.380405726E2,5.238633109E1,4.865972120E0,1.177561089E1,1.899999976E0,2.675000000E2,1.066113567E1,3.691038132E0
1.390426398E2,5.238633729E1,4.865939570E0,1.142672368E1,2.049999952E0,2.823999939E2,1.020664310E1,3.538866997E0
1.400390408E2,5.238635337E1,4.865907630E0,1.073135415E1,2.440000057E0,3.140000000E2,9.935046196E0,3.434126377E0
1.410382639E2,5.238637696E1,4.865887030E0,1.094255697E1,2.230000019E0,3.422999878E2,9.935046196E0,3.490208149E0
1.420398547E2,5.238640239E1,4.865879730E0,1.134474913E1,2.410000086E0,3.577000122E2,9.935046196E0,3.377168417E0
1.430390597E2,5.238642704E1,4.865879370E0,1.014782314E1,2.089999914E0,1.010000038E1,9.935046196E0,3.410759926E0
1.440390610E2,5.238645134E1,4.865882700E0,9.856172255E0,2.490000010E0,1.339999962E1,9.935046196E0,3.497952938E0
1.450395906E2,5.238647649E1,4.865885440E0,1.012824292E1,2.410000086E0,9.100000381E0,9.935046196E0,3.477341413E0
1.460401896E2,5.238650261E1,4.865884930E0,9.762251532E0,2.619999886E0,1.799999952E0,9.935046196E0,3.329159021E0
1.470394356E2,5.238652875E1,4.865879060E0,9.364579802E0,2.720000029E0,3.533999939E2,9.935046196E0,3.474051714E0
1.480401893E2,5.238655114E1,4.865867960E0,9.571147796E0,2.309999943E0,3.453999939E2,9.967695236E0,3.666562319E0
1.490386856E2,5.238657628E1,4.865849120E0,9.663396299E0,3.470000029E0,3.376000061E2,1.014162159E1,3.943572998E0
1.500389395E2,5.238659838E1,4.865831960E0,9.291957423E0,1.960000038E0,3.397000122E2,9.986646652E0,3.616068363E0
1.510387948E2,5.238661636E1,4.865816430E0,9.354900908E0,2.569999933E0,3.367000122E2,9.935410500E0,3.444631815E0
1.520386418E2,5.238663612E1,4.865798920E0,9.423583047E0,2.039999962E0,3.292000122E2,9.935046196E0,3.395265102E0
1.530392785E2,5.238664998E1,4.865780890E0,1.012659496E1,1.590000033E0,3.112999878E2,9.935046196E0,3.424308062E0
1.540391015E2,5.238665804E1,4.865756360E0,1.081274923E1,1.980000019E0,2.922999878E2,9.935046196E0,3.329831123E0
1.550416005E2,5.238665938E1,4.865723990E0,1.117808869E1,2.329999924E0,2.711000061E2,9.935046196E0,3.254161358E0
1.560396101E2,5.238665165E1,4.865690580E0,1.159724780E1,2.339999914E0,2.498999939E2,1.001078510E1,3.245384216E0
