"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.685813378E2,5.235514510E1,4.857042380E0,3.029416123E1,4.619999886E0,9.309999847E1,7.485618114E0,5.533274651E0
1.695821066E2,5.235514069E1,4.857127610E0,3.007868902E1,4.820000172E0,9.150000000E1,7.457455158E0,5.527325153E0
1.705808788E2,5.235516002E1,4.857226720E0,3.053586560E1,4.730000019E0,8.590000153E1,7.697953701E0,5.718997478E0
1.715819847E2,5.235516105E1,4.857288930E0,3.087879841E1,4.639999866E0,8.809999847E1,8.316360474E0,5.965252876E0
1.725829285E2,5.235514962E1,4.857406400E0,2.895276365E1,5.320000172E0,9.130000305E1,8.630336761E0,5.909672260E0
1.735808787E2,5.235514052E1,4.857464950E0,2.750136860E1,3.170000076E0,9.240000153E1,8.002054214E0,5.998200417E0
1.745806282E2,5.235512739E1,4.857553730E0,2.706493892E1,4.880000114E0,9.080000305E1,7.939832687E0,6.013025761E0
1.755815768E2,5.235511510E1,4.857623170E0,2.479128005E1,4.920000076E0,8.750000000E1,8.228314400E0,6.262145042E0
1.765905542E2,5.235511094E1,4.857675900E0,2.451701260E1,4.260000229E0,9.530000305E1,8.910104752E0,6.778440952E0
1.775815104E2,5.235510966E1,4.857746450E0,2.497029854E1,4.420000076E0,9.569999695E1,9.451517105E0,6.968028069E0
1.785816440E2,5.235511036E1,4.857815780E0,2.442560072E1,4.369999886E0,9.380000305E1,1.007528019E1,6.851302147E0
1.795797161E2,5.235511890E1,4.857882370E0,2.393535570E1,4.380000114E0,8.969999695E1,1.116400146E1,6.823725700E0
1.805797034E2,5.235511446E1,4.857929930E0,2.467628264E1,4.130000114E0,9.300000000E1,1.136314678E1,6.455881596E0
1.815824554E2,5.235513846E1,4.857988610E0,2.444594247E1,4.309999943E0,7.850000000E1,1.103836536E1,6.864242554E0
1.825813908E2,5.235514742E1,4.858017170E0,2.492631820E1,3.519999981E0,7.590000153E1,1.268403530E1,8.209841728E0
1.835813482E2,5.235515029E1,4.858045250E0,2.626764701E1,2.730000019E0,8.719999695E1,1.510665417E1,9.867026329E0
1.845803643E2,5.235515003E1,4.858083070E0,2.622457763E1,3.190000057E0,8.700000000E1,1.874525642E1,1.163209915E1
1.855815443E2,5.235515756E1,4.858121200E0,2.699682699E1,2.960000038E0,8.309999847E1,2.215222931E1,1.318842793E1
1.865811297E2,5.235516516E1,4.858176390E0,2.768143979E1,4.820000172E0,7.940000153E1,2.116980171E1,1.411192703E1
1.875852830E2,5.235517199E1,4.858240470E0,2.765463086E1,4.489999771E0,7.919999695E1,2.227130890E1,1.520503902E1
