,acc_x,acc_y,acc_z,acc_label,gyr_x,gyr_y,gyr_z,light_lux,lin_acc_x,lin_acc_y,lin_acc_z,loc_Latitude (°),loc_Longitude (°),loc_height,loc_speed,loc_Direction (°),loc_horizontal_accuracy,loc_vertical_accuracy,mang_Magnetic field x (µT),mang_Magnetic field y (µT),mang_Magnetic field z (µT)
2023-06-07 17:14:16.077333,-0.5279695894744572,0.4773693623163585,9.903235279512376,sitting,0.0004954335338916265,0.00013759407001350354,0.00015700461090918156,1367.19629867874,0.00030007567864779027,-0.0025377021784970207,5.083338769300874e-05,52.3772865,4.8777167666666665,1.8389863853333335,0.0,0.0,21.013666153333332,1.8639742136666666,-2.360568517752309,-47.50295671874023,-94.31565881334123
2023-06-07 17:15:16.077333,-0.5282390926350974,0.470813540585325,9.899599650667772,sitting,0.00023274561649701237,-1.4392273134832985e-05,8.166020215886726e-05,1359.448551302222,-0.00031631997035048824,-0.0009380949623383321,6.724754291625231e-06,52.37729023333333,4.877720533333334,1.8389938343333334,0.0,0.0,18.6916666,2.1091173490000004,-2.310543725255,-47.436913335975,-94.57504463830998
2023-06-07 17:16:16.077333,-0.5285094964343074,0.4691162651905034,9.900418600787207,sitting,2.466611394373787e-05,3.5880345632322534e-06,2.6748971413293574e-08,1350.9904285344446,-0.00023080669845130768,0.0001513628350200845,-3.766933740969756e-05,52.377263866666674,4.8777214,1.838957186,0.0,0.0,23.994667056666668,2.508698105666667,-2.2898301546985,-47.427423763309996,-94.67603428516666
2023-06-07 17:17:16.077333,-0.5288351993876681,0.46797262003657025,9.898582057319343,sitting,-0.00011429127624611575,-1.381735957856352e-06,-6.201735140326033e-05,1344.3329032666666,-0.0002383335715450998,0.0007031626863277801,-7.443390688028655e-05,52.37770006666667,4.877443866666667,1.2259528823333332,0.0,0.0,212.39666620666665,1.4535145360000001,-2.3150841589216666,-47.42540875250167,-94.61140681326833
2023-06-07 17:18:16.077333,-0.5299896141436582,0.46637332378785185,9.893683546950928,sitting,-5.6648343711902585e-05,-6.0116160840732434e-05,-3.7553086404914105e-05,1334.906828108889,-0.0004260076443434936,0.0004378205371371896,-4.7329687303339134e-05,52.37729986666667,4.877729400000001,1.8390125593333335,0.0,0.0,17.367666563333334,1.5149128440000001,-2.3211536572173337,-47.424475430275,-94.51916053014168
2023-06-07 17:19:16.077333,-0.5299984303538379,0.46536492709779065,9.892028370620595,sitting,-2.1809760439377446e-05,1.408074448266235e-05,2.9543253770428162e-05,1326.8627060244444,-0.00010540451300933153,-2.7298308738505056e-05,-0.00011530386039660619,52.3777283,4.8774664,1.2260057556666666,0.0,0.0,212.36566670666664,1.0166485706666668,-2.291597123561833,-47.43494097153667,-94.38491383745168
2023-06-07 17:20:16.077333,-0.5304385756512817,0.4646881171933371,9.895587757798985,sitting,-0.00014512369517293228,-1.9653562115382313e-05,3.6810988745906264e-05,1321.3160889925093,-0.00023355624873117294,0.00040383348757315495,0.0006827422519865598,,,,,,,,-2.2634737020697018,-47.47286668620011,-94.25253483311411
2023-06-07 17:21:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 17:22:16.077333,,,,,,,,,,,,,,,,,,,,,
2023-06-07 17:23:16.077333,,,,,,,,,,,,,,,,,,,,,
